Step 1: params = [0.0031502, 0.0031502, 0.0031502, 0.0873347, 0.0524466, 0.0873098, 0.0549331, 0.0036741, 0.0036741, 0.0036741]
Step 1: params = [0.0023127, 4e-07, 4e-07, 0.0173027, 0.0139756, 0.0173027, 0.0139874, -0.0016158, -3e-07, 9e-06]
Step 1: params = [0.0031502, 0.0031502, 0.0031502, 0.0873347, 0.0524466, 0.0873098, 0.0549331, 0.0036741, 0.0036741, 0.0036741]
Step 1: params = [0.0027218, 0.0027218, 0.0027218, 0.0377903, 0.0009057, 0.0377879, 0.0253517, -0.012086, -0.012086, -0.012086]
Step 1: params = [0.0280574, 0.0280574, 0.0280574, 0.1591943, 0.0148375, 0.1591053, 0.1089344, -0.04548, -0.04548, -0.04548]
Step 1: params = [0.0089346, 0.0089346, 0.0089346, 0.0765378, 0.0036281, 0.076522, 0.0516738, -0.0235369, -0.0235369, -0.0235369]
Step 1: params = [0.0069841, 0.0069846, 0.000605, 0.0440081, 0.0009613, 0.0440078, 0.0230273, -0.0209453, -0.020946, 0.0009335]
Step 1: params = [0.0031502, 0.0031502, 0.0031502, 0.0873347, 0.0524466, 0.0873098, 0.0549331, 0.0036741, 0.0036741, 0.0036741]
Step 1: params = [0.0010264, 0.0008701, 0.0019683, 0.0391048, 0.0169386, 0.0390988, 0.0231692, 0.0023675, -0.0017309, -0.0002031]
Step 1: params = [0.0010591, 0.0010591, 0.0010591, 0.0275738, 0.0007568, 0.0275772, 0.0050293, 0.0, -0.0, 0.0]
Step 1: params = [0.0007761, 0.0007968, 0.0006624, 0.0235185, 0.0096851, 0.0235188, 0.015404, -3.2e-06, -1.3e-06, -2.8e-06]
Step 1: params = [0.0006779, 0.0008803, 0.0006512, 0.0351063, 0.0237476, 0.0351065, 0.0299859, -1e-06, -1e-07, 1.1e-06]
Step 1: params = [0.0008095, 0.0009047, 0.0005004, 0.0228137, 0.0060234, 0.0228134, 0.015444, -8e-07, -1e-07, 4e-07]
Step 1: params = [0.0008819, 0.0007851, 0.00056, 0.026525, 0.0108971, 0.0265253, 0.019514, 4e-07, 1.1e-06, 8e-07]
Step 1: params = [0.0010591, 0.0010591, 0.0010591, 0.0275738, 0.0007568, 0.0275772, 0.0050293, 0.0, -0.0, 0.0]
Step 1: params = [0.0009909, 0.0007433, 0.000491, 0.0306927, 0.0139264, 0.0306925, 0.0250387, 2e-07, 3e-07, -2e-07]
Step 1: params = [0.0006199, 0.0008983, 0.0007411, 0.0281982, 0.0172767, 0.028198, 0.0307043, -1.2e-06, -7e-07, 3e-07]
Step 1: params = [0.0006262, 0.0008036, 0.0007811, 0.0213661, 0.0109671, 0.0213668, 0.0131562, 0.000145, 3.54e-05, 8.91e-05]
Step 1: params = [0.0010591, 0.0010591, 0.0010591, 0.0275738, 0.0007568, 0.0275772, 0.0050293, 0.0, -0.0, 0.0]
Step 1: params = [0.0005828, 0.0008866, 0.0007899, 0.0306674, 0.0208884, 0.0306673, 0.0340671, 3.91e-05, 3.03e-05, -2.3e-06]
Step 1: params = [0.0052331, 0.0052331, 0.0052331, 0.091342, 0.0034609, 0.0913936, 0.015762, 0.0, -0.0, 0.0]
Step 1: params = [0.0052331, 0.0052331, 0.0052331, 0.091342, 0.0034609, 0.0913936, 0.015762, 0.0, -0.0, 0.0]
Step 1: params = [0.0053071, 0.0047919, 0.0025532, 0.0809232, 0.0349857, 0.0809205, 0.0661406, -0.001583, -0.0002306, -0.0017037]
Step 1: params = [0.0001522, 0.0001522, 0.0001522, 0.0075079, 3.62e-05, 0.0075079, 0.0050114, -0.0024817, -0.0024817, -0.0024817]
Step 1: params = [0.0001522, 0.0001522, 0.0001522, 0.0075079, 3.62e-05, 0.0075079, 0.0050114, -0.0024817, -0.0024817, -0.0024817]
Step 1: params = [0.0280621, 0.0280621, 0.0280621, 0.1591943, 0.0148375, 0.1591053, 0.1089344, -0.04548, -0.04548, -0.04548]
Step 1: params = [0.02777, 0.0277747, 0.0030256, 0.1591943, 0.0148375, 0.1591053, 0.1089344, -0.0474343, -0.0474385, 0.0041629]
Step 1: params = [0.0280151, 0.0280151, 0.0280151, 0.1538951, 0.0127905, 0.1538071, 0.1047336, -0.0454076, -0.0454076, -0.0454076]
Step 1: params = [0.0103124, 0.0103123, 0.0103129, 0.1538951, 0.0127905, 0.1538071, 0.1047336, 0.0272531, 0.0272531, 0.0272541]
Step 1: params = [0.0280151, 0.0280151, 0.0280151, 0.1538951, 0.0127905, 0.1538071, 0.1047336, -0.0454076, -0.0454076, -0.0454076]
Step 1: params = [0.0187641, 0.0187673, 0.0019867, 0.1538951, 0.0127905, 0.1538071, 0.1047336, -0.0376722, -0.0376758, 0.0042764]
Step 1: params = [0.0280621, 0.0280621, 0.0280621, 0.1591943, 0.0148375, 0.1591053, 0.1089344, -0.04548, -0.04548, -0.04548]
Step 1: params = [0.0149325, 0.0149329, 0.0102347, 0.1591943, 0.0148375, 0.1591053, 0.1089344, -0.0337357, -0.0337362, 0.027395]
Step 1: params = [0.0280151, 0.0280151, 0.0280151, 0.1538951, 0.0127905, 0.1538071, 0.1047336, -0.0454076, -0.0454076, -0.0454076]
Step 1: params = [0.0187667, 0.0187662, 0.0019868, 0.0817074, 0.0030016, 0.0817016, 0.0445434, -0.0376752, -0.0376789, 0.0042771]
Step 1: params = [0.0280621, 0.0280621, 0.0280621, 0.1591943, 0.0148375, 0.1591053, 0.1089344, -0.04548, -0.04548, -0.04548]
Step 1: params = [0.0015474, 0.0015479, 0.0015483, 0.0281185, 0.0004993, 0.0281175, 0.0188325, 0.0091553, 0.009157, 0.0091583]
Step 1: params = [0.0019249, 0.0019253, 0.0112778, 0.0501104, 0.0018341, 0.0501066, 0.0393675, -0.0105256, -0.0105269, 0.0273039]
Step 1: params = [0.0075998, 0.0075999, 0.0117819, 0.0782661, 0.0039162, 0.078247, 0.0549038, -0.0228996, -0.0228998, 0.0290569]
Step 1: params = [0.0119529, 0.0119524, 0.0109326, 0.0921267, 0.0051482, 0.0920959, 0.0618806, -0.0296823, -0.0296818, 0.0282887]
