""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
"I_12 + 4 * I_13 **(1/3) + I_23,",0.0004265,0.002191,0.0003959,0.0315102,0.0173473,0.0315062,0.019867,5.1e-06,-0.0024689,0.0003094
"I_12 + 5 * I_13 **(1/3) + I_23,",0.0023293,3e-07,3e-07,0.0174371,0.0136257,0.0174371,0.013631,-0.0018927,3e-07,8e-07
"I_12 + 6 * I_13 **(1/3) + I_23,",0.0017615,0.0021727,0.0016503,0.0441999,0.0345497,0.0441903,0.0279343,-2.58e-05,0.0010032,-0.0021457
"I_12 + 7 * I_13 **(1/3) + I_23,",0.0003483,0.0020039,0.0008622,0.0311031,0.0200509,0.0311037,0.0219234,6.51e-05,-0.0002516,-0.0011727
"I_12 + 8 * I_13 **(1/3) + I_23,",0.0010143,0.0020457,0.0007713,0.0373772,0.0193801,0.0373685,0.0214018,-6.9e-06,-0.0025596,0.000422
5 * I_13,0.000324,0.0021462,0.0002993,0.0290829,0.015599,0.0290828,0.019513,0.0011914,-0.0002119,-0.0009996
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0031502,0.0031502,0.0031502,0.0873347,0.0524466,0.0873098,0.0549331,0.0036741,0.0036741,0.0036741
"I_12 + 5 * I_13 **(1/3) + I_23,",0.00181,0.0016636,0.0013586,0.0403845,0.0254955,0.0403793,0.0227984,-1.72e-05,0.0006521,-0.001738
"I_12 + 5 * I_13 **(1/2) + I_23,",0.0010188,0.0019718,0.0008634,0.0393201,0.0221101,0.0393182,0.0210732,0.0022392,-0.0007206,-0.0015919
"I_12 + 5 * I_13 **(2) + I_23,",0.0014002,0.001894,0.0017956,0.0415375,0.0160122,0.0415207,0.0261856,0.0003954,-0.002466,-0.000336
"I_12 + 5 * I_13 + I_23,",0.0001508,0.0001568,0.002209,0.0249424,0.0124302,0.0249419,0.0147149,-0.0007684,0.0007921,0.0001929
5 * I_13,0.0012313,0.0010174,0.0019367,0.0413306,0.0173294,0.0413233,0.0224195,0.0024679,-0.0016779,-0.0009386
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test2
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0005847,0.0005847,0.0005847,0.0187333,0.0003945,0.0187345,0.0033304,0.0,0.0,0.0
"I_12 + 5 * I_13 **(1/3) + I_23,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
"I_12 + 5 * I_13 **(1/2) + I_23,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
"I_12 + 5 * I_13 **(2) + I_23,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
"I_12 + 5 * I_13 + I_23,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
5 * I_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test2
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0005847,0.0005847,0.0005847,0.0187333,0.0003945,0.0187345,0.0033304,0.0,0.0,0.0
"I_12 + I_13 **(1/3) + I_23,",0.0,0.0,0.0,1e-07,0.0,1e-07,0.0,-0.0,0.0,0.0
"I_12 + 2 * I_13 **(1/3) + I_23,",0.0,0.0,0.0,1e-07,0.0,1e-07,0.0,0.0,0.0,-0.0
"I_12 + 3 * I_13 **(1/3) + I_23,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
"I_12 + 4 * I_13 **(1/3) + I_23,",0.0,0.0,0.0,1e-07,0.0,1e-07,1e-07,0.0,-0.0,0.0
"I_12 + 5 * I_13 **(1/3) + I_23,",0.0,0.0,0.0,1e-07,0.0,1e-07,1e-07,-0.0,0.0,-0.0
"I_12 + 6 * I_13 **(1/3) + I_23,",0.0,0.0,0.0,1e-07,0.0,1e-07,1e-07,0.0,0.0,-0.0
"I_12 + 7 * I_13 **(1/3) + I_23,",0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
"I_12 + 8 * I_13 **(1/3) + I_23,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5 * I_13,0.0,0.0,0.0,1e-07,0.0,1e-07,1e-07,0.0,0.0,-0.0
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,2,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0031502,0.0031502,0.0031502,0.0873347,0.0524466,0.0873098,0.0549331,0.0036741,0.0036741,0.0036741
"I_12 + I_13 **(1/3) + I_23,",4e-07,0.0022778,4e-07,0.0155858,0.0151873,0.0155858,0.0151903,8e-07,1e-07,3e-07
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,3,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0031502,0.0031502,0.0031502,0.0873347,0.0524466,0.0873098,0.0549331,0.0036741,0.0036741,0.0036741
"I_12 + I_13 **(1/3) + I_23,",0.0023127,4e-07,4e-07,0.0173027,0.0139756,0.0173027,0.0139874,-0.0016158,-3e-07,9e-06
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0031502,0.0031502,0.0031502,0.0873347,0.0524466,0.0873098,0.0549331,0.0036741,0.0036741,0.0036741
"I_12 + I_13 **(1/3) + I_23,",0.0010264,0.0008701,0.0019683,0.0391048,0.0169386,0.0390988,0.0231692,0.0023675,-0.0017309,-0.0002031
""
""
,h_variables:,"[1, 1, 1, 0.6, 0.6, 0.6]",,maxit:,1,,hamil:,test2
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0052331,0.0052331,0.0052331,0.091342,0.0034609,0.0913936,0.015762,0.0,-0.0,0.0
"I_12 + 5 * I_13 + I_23,",0.0053071,0.0047919,0.0025532,0.0809232,0.0349857,0.0809205,0.0661406,-0.001583,-0.0002306,-0.0017037
""
""
,h_variables:,"[1, 1, 1, 0.4, 0.4, 0.4]",,maxit:,1,,hamil:,test1
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0280621,0.0280621,0.0280621,0.1591943,0.0148375,0.1591053,0.1089344,-0.04548,-0.04548,-0.04548
I_12 + 40 * I_13 **(1/3) + I_23,0.02777,0.0277747,0.0030256,0.1591943,0.0148375,0.1591053,0.1089344,-0.0474343,-0.0474385,0.0041629
""
""
,h_variables:,"[1, 1, 1, 0.4, 0.4, 0.4]",,maxit:,1,,hamil:,test1
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0280151,0.0280151,0.0280151,0.1538951,0.0127905,0.1538071,0.1047336,-0.0454076,-0.0454076,-0.0454076
"I_12 + 1 * I_13 + I_23,",0.0103124,0.0103123,0.0103129,0.1538951,0.0127905,0.1538071,0.1047336,0.0272531,0.0272531,0.0272541
""
""
,h_variables:,"[1, 1, 1, 0.4, 0.4, 0.4]",,maxit:,1,,hamil:,test1
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0280151,0.0280151,0.0280151,0.1538951,0.0127905,0.1538071,0.1047336,-0.0454076,-0.0454076,-0.0454076
"I_12 + 5 * I_13 + I_23,",0.0187641,0.0187673,0.0019867,0.1538951,0.0127905,0.1538071,0.1047336,-0.0376722,-0.0376758,0.0042764
""
""
,h_variables:,"[1, 1, 1, 0.4, 0.4, 0.4]",,maxit:,1,,hamil:,test1
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0280621,0.0280621,0.0280621,0.1591943,0.0148375,0.1591053,0.1089344,-0.04548,-0.04548,-0.04548
"I_12 + 5 * I_13 + I_23,",0.0149325,0.0149329,0.0102347,0.1591943,0.0148375,0.1591053,0.1089344,-0.0337357,-0.0337362,0.027395
""
""
,h_variables:,"[1, 1, 1, 0.4, 0.4, 0.4]",,maxit:,1,,hamil:,test1
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0280151,0.0280151,0.0280151,0.1538951,0.0127905,0.1538071,0.1047336,-0.0454076,-0.0454076,-0.0454076
"I_12 + 5 * I_13 + I_23,",0.0187667,0.0187662,0.0019868,0.0817074,0.0030016,0.0817016,0.0445434,-0.0376752,-0.0376789,0.0042771
""
""
,h_variables:,"[1, 1, 1, 0.4, 0.4, 0.4]",,maxit:,1,,hamil:,test1
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0280621,0.0280621,0.0280621,0.1591943,0.0148375,0.1591053,0.1089344,-0.04548,-0.04548,-0.04548
"I_12 + 1 * I_13 + I_23,",0.0015474,0.0015479,0.0015483,0.0281185,0.0004993,0.0281175,0.0188325,0.0091553,0.009157,0.0091583
"I_12 + 2 * I_13 + I_23,",0.0019249,0.0019253,0.0112778,0.0501104,0.0018341,0.0501066,0.0393675,-0.0105256,-0.0105269,0.0273039
"I_12 + 3 * I_13 + I_23,",0.0075998,0.0075999,0.0117819,0.0782661,0.0039162,0.078247,0.0549038,-0.0228996,-0.0228998,0.0290569
"I_12 + 4 * I_13 + I_23,",0.0119529,0.0119524,0.0109326,0.0921267,0.0051482,0.0920959,0.0618806,-0.0296823,-0.0296818,0.0282887
"I_12 + 5 * I_13 + I_23,",0.0149334,0.0149348,0.0102142,0.1000013,0.005897,0.0999631,0.0656568,-0.0337367,-0.0337377,0.0273626
"I_12 + 6 * I_13 + I_23,",0.0170254,0.0170249,0.009769,0.1051266,0.0064072,0.1050835,0.0681139,-0.0363863,-0.0363856,0.0267059
"I_12 + 7 * I_13 + I_23,",0.0185526,0.0185539,0.0094499,0.1086568,0.0067668,0.1086104,0.0697827,-0.0382361,-0.0382376,0.026185
"I_12 + 8 * I_13 + I_23,",0.0197162,0.0197152,0.0092439,0.1113043,0.0070438,0.1112555,0.0710566,-0.0396062,-0.0396056,0.0258234
"I_12 + 9 * I_13 + I_23,",0.0206277,0.020627,0.0090908,0.1133319,0.007259,0.1132812,0.0720308,-0.0406569,-0.0406563,0.0255378
"I_12 + 10 * I_13 + I_23,",0.0213576,0.0213579,0.0089878,0.1149595,0.0074351,0.1149072,0.0728268,-0.0414857,-0.0414863,0.0253342
"I_12 + 20 * I_13 + I_23,",0.024689,0.0246866,0.0087397,0.1224923,0.0082931,0.1224328,0.076696,-0.0451476,-0.0451454,0.0247237
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"I_12 + 1 * I_13 + I_23,",0.0011912,0.0014818,0.0018831,0.0373749,0.0149929,0.0373616,0.0194576,-0.0014061,0.0022097,-0.0011531
"I_12 + 2 * I_13 + I_23,",0.0001002,0.0022768,9.75e-05,0.0220797,0.0132411,0.0220791,0.0160032,1.36e-05,-0.0019024,0.0001809
"I_12 + 3 * I_13 + I_23,",4.59e-05,0.0023504,4.66e-05,0.0212283,0.0123171,0.0212279,0.0143756,0.0002181,-0.0026675,-0.0001754
"I_12 + 4 * I_13 + I_23,",1.4e-06,0.0022721,1.4e-06,0.0155857,0.0132191,0.0155857,0.0135611,-5.04e-05,0.0002611,5.03e-05
"I_12 + 5 * I_13 + I_23,",0.0022808,0.0012911,0.001835,0.0394685,0.0230631,0.0394724,0.0235659,-0.0009167,0.0006366,-0.0024205
"I_12 + 6 * I_13 + I_23,",0.0002255,0.0021711,0.0002117,0.0240044,0.0128799,0.0240044,0.0152562,0.0007889,6.94e-05,-0.0006815
"I_12 + 7 * I_13 + I_23,",0.000217,0.0021764,0.0002042,0.0240764,0.0128703,0.0240773,0.014691,-0.000203,-0.0011157,-0.000204
"I_12 + 8 * I_13 + I_23,",0.0007654,0.0020511,0.0008654,0.0332905,0.012176,0.0332828,0.0203281,0.0006764,-0.0024374,-0.0004469
"I_12 + 9 * I_13 + I_23,",0.0008666,0.0020516,0.0007658,0.0332957,0.0177265,0.0332879,0.0202864,-0.0004471,-0.0024527,0.0006592
"I_12 + 10 * I_13 + I_23,",0.0017531,0.0021722,0.0016253,0.0381349,0.0320587,0.0381277,0.022141,-0.0003506,0.0005928,-0.0017858
"I_12 + 20 * I_13 + I_23,",0.0019929,0.0007179,0.000827,0.0326532,0.0128535,0.0326495,0.0172983,-0.0004953,-0.0011975,0.0016355
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,2,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 5 * i_13 + i_23,",0.0002815,0.0003035,0.0021421,0.025594,0.0111672,0.0255929,0.0140691,-0.0007838,0.0009318,-2.5e-06
"i_12 + 6 * i_13 + i_23,",0.0001787,0.0021854,0.0001891,0.0232016,0.0096516,0.0232016,0.0146439,-0.0006262,0.0001023,0.000715
"i_12 + 7 * i_13 + i_23,",0.0022135,8.65e-05,8.86e-05,0.0207416,0.012134,0.0207416,0.013351,-0.0008781,-9.46e-05,-0.000182
"i_12 + 8 * i_13 + i_23,",2.1e-06,0.0022835,6.1e-06,0.0168838,0.0105557,0.0168841,0.0104966,-2.28e-05,-0.0013245,-4.15e-05
"i_12 + 9 * i_13 + i_23,",1.15e-05,0.0022658,1.16e-05,0.0168388,0.0106284,0.0168388,0.0117885,-0.0001517,0.0002529,0.0001549
"i_12 + 10 * i_13 + i_23,",4.08e-05,0.0022505,4.17e-05,0.0186746,0.009496,0.0186747,0.0117984,-0.0002928,0.0002298,0.00031
"i_12 + 20 * i_13 + i_23,",0.0022537,3.54e-05,3.54e-05,0.0183891,0.0110854,0.018389,0.012278,0.0002352,0.0002822,-0.0002722
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 5 * i_13 + i_23,",0.0018711,0.0012566,0.0015805,0.037859,0.0171942,0.0378501,0.0197314,-0.0012037,-0.0014432,0.002317
"i_12 + 6 * i_13 + i_23,",9.56e-05,0.0022824,5.52e-05,0.0211781,0.0157133,0.0211784,0.0192567,4.91e-05,-0.0017156,0.000174
"i_12 + 7 * i_13 + i_23,",0.0022517,3.94e-05,3.91e-05,0.0185828,0.0110872,0.0185828,0.0123608,0.000232,0.0002997,-0.0002865
"i_12 + 8 * i_13 + i_23,",0.0001861,0.002261,0.0001942,0.0249375,0.0111855,0.0249359,0.0165873,0.0003217,-0.0023571,-0.0001627
"i_12 + 9 * i_13 + i_23,",0.0002212,0.0002077,0.0021724,0.0239397,0.0105566,0.0239391,0.0138337,0.0007795,-0.0006663,3.44e-05
"i_12 + 10 * i_13 + i_23,",0.0017715,0.0018904,0.0014809,0.0358899,0.0238942,0.0358851,0.0195983,-0.0003174,0.00037,-0.0016178
"i_12 + 20 * i_13 + i_23,",0.0022943,1.27e-05,1.27e-05,0.0180909,0.0134535,0.0180909,0.0138617,-0.0015098,-5.86e-05,-2.11e-05
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 1 * i_13 + i_23,",0.0003914,0.0021001,0.0004299,0.0277125,0.0108527,0.0277122,0.0182557,-0.0008993,-0.0001058,0.0011197
"i_12 + 2 * i_13 + i_23,",0.0015757,0.0019216,0.001107,0.0368478,0.0193129,0.036836,0.0215485,-0.0006905,-0.0024849,0.000799
"i_12 + 3 * i_13 + i_23,",0.0018601,0.0012569,0.0010664,0.0332304,0.0173641,0.0332291,0.0176841,-0.0002658,-3.8e-06,-0.0011205
"i_12 + 4 * i_13 + i_23,",0.0021768,0.0001987,0.000211,0.0236817,0.0096065,0.0236813,0.0133799,8.18e-05,-0.0006597,0.0007587
"i_12 + 5 * i_13 + i_23,",0.0012891,0.0019078,0.0010621,0.0362978,0.0203268,0.0362939,0.0185483,0.0020835,-0.0009326,-0.0013795
"i_12 + 6 * i_13 + i_23,",0.0030938,0.001854,0.0017717,0.0421583,0.0164936,0.0421633,0.0376974,-0.0015542,0.0004955,-0.0018143
"i_12 + 7 * i_13 + i_23,",1.89e-05,0.0022598,2.66e-05,0.0177015,0.0110239,0.0177016,0.0114817,0.0001862,0.0002442,-0.0002462
"i_12 + 8 * i_13 + i_23,",1.71e-05,0.0023781,1.62e-05,0.0198586,0.0123459,0.0198585,0.0134309,0.0001558,-0.0029508,-9.3e-05
"i_12 + 9 * i_13 + i_23,",7.67e-05,0.0022498,5.18e-05,0.0201331,0.0119098,0.0201322,0.0141274,7.09e-05,-0.0011656,-0.0001542
"i_12 + 10 * i_13 + i_23,",0.0033878,0.002035,0.0017404,0.0431678,0.0151807,0.0431338,0.0352041,0.0015923,-0.0027132,-0.0002413
"i_12 + 20 * i_13 + i_23,",1.41e-05,0.0022648,1.42e-05,0.0170588,0.0103851,0.0170588,0.0116826,-0.0001674,0.0002519,0.0001723
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 1 * i_13 + i_23,",0.0021931,0.0001855,0.0001748,0.0235024,0.0132151,0.0235024,0.0143058,-0.001202,-0.0002014,-0.0001645
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,4,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 1 * i_13 + i_23,",6.08e-05,5.89e-05,0.0022413,0.0194928,0.0100284,0.0194928,0.0129186,0.0003813,-0.0003536,0.000215
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,4,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 2 * i_13 + i_23,",0.0013461,0.0018891,0.0017029,0.0370992,0.017199,0.0370848,0.0239925,0.0009085,-0.0024037,-0.001008
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 2 * i_13 + i_23,",0.0003203,0.0022036,0.0003005,0.0269748,0.0147631,0.0269723,0.016878,-0.0001309,-0.0021952,0.0003952
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,5,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0030671,0.0030671,0.0030671,0.0711767,0.0446268,0.0711609,0.0478902,0.0035357,0.0035357,0.0035357
"i_12 + 10 * i_13 + i_23,",1.01e-05,0.0021256,2.8e-06,0.0153806,0.012424,0.0153807,0.0131791,-0.0001396,0.0002317,-9.8e-06
""
""
,h_variables:,"[1, 1, 1, 0.4, 0.4, 0.4]",,maxit:,1,,hamil:,test1
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0280621,0.0280621,0.0280621,0.1591943,0.0148375,0.1591053,0.1089344,-0.04548,-0.04548,-0.04548
"i_12 + 1 * i_13 + i_23,",0.0015479,0.0015479,0.001548,0.0281191,0.0004993,0.0281181,0.0188331,0.009157,0.0091569,0.0091573
"i_12 + 2 * i_13 + i_23,",0.0019253,0.0019254,0.0112777,0.0501112,0.0018342,0.0501074,0.0393683,-0.0105266,-0.0105269,0.0273038
"i_12 + 3 * i_13 + i_23,",0.0076008,0.0076004,0.0117818,0.0782691,0.0039165,0.07825,0.054906,-0.0229014,-0.0229006,0.0290571
"i_12 + 4 * i_13 + i_23,",0.0119522,0.0119535,0.0109325,0.0921278,0.0051482,0.092097,0.0618802,-0.0296815,-0.0296832,0.0282887
"i_12 + 5 * i_13 + i_23,",0.0149557,0.0149554,0.0102262,0.100086,0.0059066,0.1000477,0.065713,-0.0337659,-0.0337655,0.0273826
"i_12 + 6 * i_13 + i_23,",0.0170246,0.0170251,0.0097632,0.1051131,0.0064054,0.10507,0.0681012,-0.0363846,-0.036385,0.0266965
"i_12 + 7 * i_13 + i_23,",0.0185531,0.0185543,0.0094495,0.1086589,0.006767,0.1086125,0.0697838,-0.038237,-0.0382385,0.0261846
